Date,Close
2/2/2016,475.67
2/3/2016,461.74
2/4/2016,470.9
2/5/2016,460.14
2/8/2016,445
2/9/2016,440.93
2/10/2016,448.81
2/11/2016,461.39
2/12/2016,480.57
2/16/2016,492.94
2/17/2016,514.01
2/18/2016,515.93
2/19/2016,511.58
2/22/2016,525.9
2/23/2016,525.06
2/24/2016,514.86
2/25/2016,505.33
2/26/2016,506.01
2/29/2016,509.16
3/1/2016,509.97
3/2/2016,525.69
3/3/2016,524.29
3/4/2016,529
3/7/2016,533.69
3/8/2016,524.69
3/9/2016,506.63
3/10/2016,503.68
3/11/2016,507.85
3/14/2016,515.73
3/15/2016,503
3/16/2016,500.35
3/17/2016,471.59
3/18/2016,455.37
3/21/2016,462.48
3/22/2016,471.76
3/23/2016,474.46
3/24/2016,471.37
3/28/2016,475.31
3/29/2016,460
3/30/2016,466.15
3/31/2016,470.97
4/1/2016,464.81
4/4/2016,465
4/5/2016,463.42
4/6/2016,455.25
4/7/2016,450.6
4/8/2016,451.25
4/11/2016,444.21
4/12/2016,444.62
4/13/2016,444.66
4/14/2016,456.01
4/15/2016,469.29
4/18/2016,460.12
4/19/2016,455.18
4/20/2016,458
4/21/2016,448.14
4/22/2016,442.73
4/25/2016,443.1
4/26/2016,445.92
4/27/2016,417.22
4/28/2016,423.4
4/29/2016,420.97
5/2/2016,433.5
5/3/2016,437.95
5/4/2016,433.3
5/5/2016,435
5/6/2016,433.81
5/9/2016,453.17
5/10/2016,455.59
5/11/2016,454
5/12/2016,457.01
5/13/2016,458.35
5/16/2016,444.56
5/17/2016,446.08
5/18/2016,448.61
5/19/2016,450.64
5/20/2016,449.92
5/23/2016,456.44
5/24/2016,457.33
5/25/2016,458.04
5/26/2016,452.03
5/27/2016,445.41
5/31/2016,441.96
6/1/2016,432.59
6/2/2016,443.49
6/3/2016,433.94
6/6/2016,445.27
6/7/2016,433.39
6/8/2016,429.2
6/9/2016,415.79
6/10/2016,405.26
6/13/2016,394
6/14/2016,395.27
6/15/2016,390.31
6/16/2016,393.55
6/17/2016,397.27
6/20/2016,396.94
6/21/2016,391.96
6/22/2016,392.99
6/23/2016,408.89
6/24/2016,400.73
6/27/2016,388.78
6/28/2016,391.67
6/29/2016,409.49
6/30/2016,402.76
7/1/2016,393.91
7/5/2016,396.38
7/6/2016,401.05
7/7/2016,390.78
7/8/2016,399.71
7/11/2016,403.18
7/12/2016,408.34
7/13/2016,416.63
7/14/2016,417.98
7/15/2016,404.86
7/18/2016,408.9
7/19/2016,415.31
7/20/2016,419.68
7/21/2016,418.07
7/22/2016,442.48
7/25/2016,441.52
7/26/2016,430.85
7/27/2016,426.06
7/28/2016,430.55
7/29/2016,423.99
8/1/2016,414.08
8/2/2016,402.64
8/3/2016,402.56
8/4/2016,397.2
8/5/2016,401.13
8/8/2016,401.4
8/9/2016,395.1
8/10/2016,395.07
8/11/2016,398.22
8/12/2016,397.33
8/15/2016,397.48
8/16/2016,400.86
8/17/2016,399.18
8/18/2016,394.91
8/19/2016,388.5
8/22/2016,396.04
8/23/2016,397
8/24/2016,403.75
8/25/2016,413.34
8/26/2016,418.75
8/29/2016,423.02
8/30/2016,415.15
8/31/2016,413.73
9/1/2016,414.68
9/2/2016,408.41
9/6/2016,414.07
9/7/2016,438.45
9/8/2016,436.31
9/9/2016,426.55
9/12/2016,428.9
9/13/2016,421.36
9/14/2016,414.9
9/15/2016,413.96
9/16/2016,409.32
9/19/2016,402.76
9/20/2016,400.42
9/21/2016,399.75
9/22/2016,410.16
9/23/2016,413.81
9/26/2016,419.88
9/27/2016,418.95
9/28/2016,418.31
9/29/2016,420.73
9/30/2016,423.5
10/3/2016,430.87
10/4/2016,427.27
10/5/2016,427.84
10/6/2016,424.49
10/7/2016,429.91
10/10/2016,437.88
10/11/2016,423.02
10/12/2016,418.52
10/13/2016,409.81
10/14/2016,404.14
10/17/2016,394.35
10/18/2016,393.96
10/19/2016,405.25
10/20/2016,405.1
10/21/2016,411.94
10/24/2016,413.35
10/25/2016,405.67
10/26/2016,368.02
10/27/2016,368.59
10/28/2016,370.08
10/31/2016,360.76
11/1/2016,359.92
11/2/2016,369.63
11/3/2016,374.71
11/4/2016,370.43
11/7/2016,382.49
11/8/2016,378.54
11/9/2016,369.52
11/10/2016,391.83
11/11/2016,397.08
11/14/2016,414.18
11/15/2016,400
11/16/2016,402.9
11/17/2016,402.9
11/18/2016,411.8
11/21/2016,412.38
11/22/2016,405.99
11/23/2016,410.41
11/25/2016,410.28
11/28/2016,399.39
11/29/2016,395.11
11/30/2016,396.33
12/1/2016,402.38
12/2/2016,400.03
12/5/2016,396.27
12/6/2016,366.37
12/7/2016,368.06
12/8/2016,369.06
12/9/2016,370
12/12/2016,382.48
12/13/2016,377.22
12/14/2016,375.7
12/15/2016,382.35
12/16/2016,392.07
12/19/2016,389.5
12/20/2016,389.47
12/21/2016,393.5
